ID_TBLLST;ID_GINFO;DT_STAT;UPD_COUNT;AVG_PROCESS;AVG_INSERT;AVG_ERROR;AVG_PARAM;AVG_ROW;CUR_PROCESS;CUR_INSERT;CUR_ERROR;CUR_PARAM;CUR_ROW;SUM_PROCESS;SUM_INSERT;SUM_ERROR;SUM_PARAM;SUM_ROW;
1140;56;1436508117;1;2;1;0;1;1;2;1;0;1;1;2;1;0;1;1;
29;8;1438580275;35121;0.14202;0.13251;0;7;7.02192;0;0;0;7;7;4988;4654;0;245847;246617;
29;19;1438580216;11731;0.1808;0.16375;0;1;1.00085;0;0;0;1;1;2121;1921;0;11731;11741;
29;6;1438580117;7027;106.35876;37.55728;0;2558;153480;16;16;0;2558;153480;747383;263915;0;17975066;1078503960;
29;58;1438580216;11732;0.18675;0.12649;0;1;1.00085;0;0;0;1;1;2191;1484;0;11732;11742;
29;3;1438579836;3526;28.2456;28.24305;0.71639;2555.82445;2556.54453;21;21;0;2558;2558;99594;99585;2526;9011837;9014376;
116;3;1438579855;3523;1.91371;1.73914;0;45;45;0;0;0;45;45;6742;6127;0;158535;158535;
29;4;1438578062;1172;1.79863;1.74915;0;7;7;2;2;0;7;7;2108;2050;0;8204;8204;
33;27;1438578013;582;24.16838;24.15808;0;447;450.84021;2;2;0;447;447;14066;14060;0;260154;262389;
29;57;1438578049;1172;1.63652;1.30034;0;2;2;1;1;0;2;2;1918;1524;0;2344;2344;
116;4;1438579855;1173;1.96675;1.70844;0;2;2;0;0;0;2;2;2307;2004;0;2346;2346;
116;2;1438578071;587;10.30153;9.47019;0;45;45;13;7;0;45;45;6047;5559;0;26415;26415;
1140;52;1438538480;26;8.5;8.46154;1;1;1;14;14;1;1;1;221;220;26;26;26;
29;2;1438578138;587;109.79387;109.79216;0;2558;2558;79;79;0;2558;2558;64449;64448;0;1501546;1501546;
57;28;1438577571;29872;9.08245;0.9368;0;8.0001;544.63387;1;1;0;9;14877;271311;27984;0;238979;16269303;
