about;name;so_PSRType_AssetTypes
ff3eac639ec14f17ba3caf1ba1ac0252;ВБП-110III-31,5/2000 ;937f70ca22af443aa5d7ca192a98bf78
53303d8e9a09442bac8544bdddc1e827;КВсгОСР-RA-460-2500-D11-8-УХЛ4 ;ee85aea934b742d6990d115a884a6334
216b796412c64c7292152885beb90e39;Независимая диодная система возбуждения;ee85aea934b742d6990d115a884a6334
100016e600000000c0000000006d746c;КА пусковых цепей;
29bb95ea49ee42b18b73f37ad9d9cd81;ВГП-110 II*-40/2500 ХЛ1*;937f70ca22af443aa5d7ca192a98bf78
1000125000000000c0000000006d746c;Гидроаккумулирующая электростанция;
9c8b6dcf9fbe465e98ca76f3841ee853; элегазовый выключатель;937f70ca22af443aa5d7ca192a98bf78
100015cf00000000c0000000006d746c;Линейный регулировочный трансформатор c 3-мя выводами;
10000cbf00000000c0000000006d746c;Последовательный регулировочный (вольтодобавочный) трансформатор;
1000134800000000c0000000006d746c;Распределительный пункт;
1000148900000000c0000000006d746c;3-позиц. разъединитель;0c4b941ca4dc4187a15bcedca045212b
dff795aa4b574adc975cdf8c7efba6f1;Синхронный с фазным ротором или на постоянных магнитах;
1000132a00000000c0000000006d746c;Фильтр нейтралеобразующий присоединительный;
7f63647d6a3d41308908cf12abfa4b6a;Статический генератор реактивной мощности;fd97251d217d4dd28be8b3e7b276788a
0350e294640841e285715dce59a05266;Многовальная;6030f5cef7344574a15944162cef3179
16fc094d415c48dc9ac720499205919f;Конденсационная электростанция;
8955fac19ec144aaa725f916431c1570;СТС-2П-310-1900-2,5 ;ee85aea934b742d6990d115a884a6334
40815c61613e44c1991b7744621b4bd8;Тиристорная независмого возбуждения бесщеточная;ee85aea934b742d6990d115a884a6334
10000cc500000000c0000000006d746c;Элегазовый выключатель;937f70ca22af443aa5d7ca192a98bf78
1000103000000000c0000000006d746c;Выкатная секционная тележка;
10000d1c00000000c0000000006d746c;Управляемый шунтирующий реактор;ceef3e582f7a41199b7f1c942407c262
f1a27035fcbf48158d0b01b244d49f12;Высокочастотная система возбуждения;ee85aea934b742d6990d115a884a6334
70f23451cb804819baa5dddcc14b6f5d;Сильного действия;0552209d4e4c46749171a6b369ca71e6
ae1afb726f064684aca5c627c9dd5407;РЛНД2-110/600 (ЛСНХ ВЗВА г.Великие Луки);0c4b941ca4dc4187a15bcedca045212b
1000124a00000000c0000000006d746c;Атомная электростанция;
dfa200d2483b4ff4b793282ccf6b10c7;Масляный выключатель;937f70ca22af443aa5d7ca192a98bf78
10000cc600000000c0000000006d746c;Кабельный участок ЛЭП;
1000181e00000000c0000000006d746c;Кабельная однородная часть участка ЛЭП;
10000cf100000000c0000000006d746c;Автоматический выключатель;937f70ca22af443aa5d7ca192a98bf78
ae614656e85a4900b43129e9207ede3c;Воздушный выключатель;937f70ca22af443aa5d7ca192a98bf78
115808ffb3834dc1b4823c991d2bfc98;Двухмашинная система электромашинного возбуждения с возбудителем постоянного тока;ee85aea934b742d6990d115a884a6334
10000d0400000000c0000000006d746c;Установка продольной емкостной компенсации;45ba98e3bd37486dbf3e1967aaf56228
15590a57f689438e83435ed126af1f04;Газотурбинный агрегат;
5fc183a2850b42b09bda36cd7f9ba33e;Одномашинная высокочастотная система возбуждения ;ee85aea934b742d6990d115a884a6334
1000181b00000000c0000000006d746c;Воздушная однородная часть участка ЛЭП;
3af4d5016f474daf99254b726c6379fc;Дизельная электростанция;
36ec3f16d4c24b248b0cd8b1bfea34db;Маломасляный выключатель;937f70ca22af443aa5d7ca192a98bf78
9d1b65dde9e64eb88062fcbed529fd45;ЭВ;937f70ca22af443aa5d7ca192a98bf78
1c1a63deaa14458d9b8269358bcdac61;Асинхронный двойного питания;
10000cf800000000c0000000006d746c;Разборное соединение;
