about;name;OrganisationRole_Objects
0c71944d84734b138fd15cfc3a20ec71;Владение АО «СК Алтайкрайэнерго»;
4fa73b40c53e487fa4f759c5e455074e;Владение Филиал «Тюменская ГРЭ СГБ» АО «НПЦ «Недра»;
93642364441942a8861c068f525126cd;Владение ООО «ВДМ»;
00185fff63024c4f9f637bd90419635d;Владение АО «МСК Энерго» ;
f1bb444d120c469f80e0a3c8d489e6e2;Владение Западно-Казахстанская Региональная энергетическая компания;
1c2d5e240f954640a0c81d47ae1811ac;Владение ПАО «Ашинский метзавод»;
9a7dbb84a34143f7939f7ba961656386;"Владение АО ""Висмут""";
28b2878e2e734aa0a4f5cf535c937459;Владение АО «ЕЭСК»;
f9705e4816ac4334b1aba7071a48bf6c;Владение РТРС;
2f24a1f8ca73436091f140bf949c5481;Владение АО «Арктикгаз»;
d060983aa51148349b19426050956962;Владение АО «НЗИВ»;
4a27aca1df0c4bf7afb4e4bc76daef6b;Владение ООО «Горэлектро»;
6231cefc66874afd9a90b2502aaa84fe;Владение АО «Полюс Красноярск»;
fd447896fdde4ca689cf62dd8e25014e;Владение ООО «ЛУКОЙЛ-Ставропольэнерго»;
1b9fb8a3286841cab2a5b33d08e6c0e8;Владение ООО «Сила Сибири»;
44b3849bbdb144c382d471578c1a3fb9;Владение АО «НефтеХимСервис»;
afae3b7bdd7f4da3b3a2c01d30ce9305;Владение АО «УСТЭК-Челябинск»;
755fd7c080724a8da6f322898988d384;Владение ООО «Кварц»;
f2f44f3fad1441549971f117da82994d;Владение ООО «Каргилл»;
09e27ad823274b1db54131df6918eeb8;Владение ООО «Крассети»;
7a4fc0dc814f423a8701100305548976;"Владение ООО ""Самараэлектросеть""";
d15f0b054a2a4185badb451cc0b7029e;Владение АО «ТГК-11»;
3a874e5b753c439b93a81f8dd2136dc8;Владение ПАО «ОГК-2»;
5e685f121ab24595b601d88760947146;Владение ФКП «КГКПЗ»;
b08157587f5b429182d26ad44e9576f3;Владение ФГУП «ФЭО»;
44decb51354d4a87a0e8a5049b0bd723;Владение ПАО «Орскнефтеоргсинтез»;
43b78e54bb6c4d96bf43cde1f403be65;Владение ООО «Соровскнефть»;
1944b36e56494c58a2a4ed5c2b8e6ac7;Владение ООО «Озёрное»;
2067ecb501a9438eac185b8c4bec6f3e;Владение Филиал «Марий Эл и Чувашии» ПАО «Т Плюс»;
8c8d7202a685489392b394c66355e690;Владение АО «Братская электросетевая компания»;
ddcde9139f124ca89441eaa47907e6bb;Владение ФКП «Завод им. Я.М. Свердлова»;
b86fb8ffb4ae472493bf578b2746eac9;Владение ООО «СТАВРОПОЛЬНЕФТЕГАЗ»;
7537188556a544139e21998f9cd421bf;Владение АО «Электросеть»;
fd4c71b8a91b4f2e9454325fb86d6180;Владение ПАО «Гайский ГОК»;
c1afaf9e12ec4da18bc75f21ebd562db;Владение ООО «Солар Системс»;
06bace96c031467e994993b4b42c97c8;Владение АО «СЕВЭНЕРГОТЕХ»;
a5c29963d36147b89b8bdcd2a33bab6e;Владение ПАО «Комбинат «Магнезит»;
8396eef5b7da4c19999ab55863042b9d;Владение Филиал ПАО «Россети» - Карельское ПМЭС;
ae8e4334bf3145a2a258878d2e6d0b7e;Владение ООО СК «Главэнергострой»;
77a3f122cc1a42e593fffa65ec37c16b;Владение ООО «ННК-Оренбургнефтегаз»;
eecd26a52ccb494388858bbf9436f474;Владение Филиал ПАО «Россети Северо-Запад» в Республике Коми;
6c79c4cd4b6e46b0bd98d3c4f7237dca;Владение ООО «Хоста»;
2161e311abdf49e5bf5613910e9ed183;Владение АО «Северо-Казахстанская Распределительная Электросетевая Компания»;
60f2e2d7c9bd4323b613e4abe1242193;Владение АО «Оренбургкоммунэлектросеть»;
a046eebbf92443778856d31a6d059ba7;Владение АО «Жирекенский ГОК»;
849f0e8cbf3e43ac99710a7d0eaec6bf;Владение Филиал ПАО «ОГК-2» Адлерская ТЭС;
0c1132300e034efabc347f8f3dbd5f6d;Владение АО «Калугапутьмаш»;
988dea3181ea4adcbbe0e9164830a91e;Владение АО «Каневсксахар»;
10b9226a2cbf45c0978da94955074280;Владение ФГУП «ГХК»;
fb1867a153e04cb2a382f2a4da035cdf;Владение АО «Омский каучук»;
b85c7339e844470a9f3d9a7ab0afb41c;Владение ООО «ЖСК»;
ec7f8cebc3b947e2b69dafddcd9750ce;Владение АО «ГАЛОПОЛИМЕР ПЕРМЬ»;
8c568317690c4b8cb82b7bcdd7d60302;Владение ООО «Регион Энерго»;
1108769294964014976bcad4b77a4de7;Владение ООО «Сухонский КБК»;
56d18bbab95846a3b1ec7d8c8b41a96f;Владение ООО «ЗПП»;
1067a09408ce4b05b06924e59f1e1a45;Владение ООО «Развитие – горэлектросеть»;
8d0bd29598404d67b1c37dbfcd892015;Владение АО «КЭС КМР»;
7fe0b5af9c894202932408daae7ae560;Владение АО «Керченский металлургический завод»;
e87014b561f74beeac441d9b0d83db3c;Владение АО «ВИнКО»;
e34163279c9c4425bd6846325d8742d0;Владение ООО «Амурсталь»;
