about;name;Organisation_oGRN;Organisation_ChildOrganisations;Organisation_Roles
3b168f407f3948eabb3f8bf2c4ca71d1;Schweitzer Engineering Laboratories;;;
21f7608566a543778bf6c0eaebc673a0;ХК ОАО Привод;;;
ac462320aaa24305be0b91edf4dabdd8;S.T.E.;;;
51f2d1c0848848a1ac401b7aaf0410ec;АО ПДК «Апшеронск»;1022303445603;;
7fc109907aba4c5fab8f362c92cc0f63;"АО ""Авиадвигатель""";;;
c0d93a029dc345efafbb4bbe3a12ad6b;АО «Агропродукт»;1093925040967;;
98a70fbd8cc24deab415ca42fa31c8b1;Филиал ООО «Красавинская ТЭЦ» в г Красавино Вологодской области;1232400006630;;
a960bc6a6a784eb2a524d51f8c74f3a4;Иркутская  дистанция электроснабжения Восточно-Сибирской дирекции по энергобеспечению;1037739877295;;
5f46505659124bacb02b60b9e90941cb;ООО «ПСК»;1154827012086;;
64fbd20ef0bf47cdaa28b1bcf0fa8721;Филиал АО «РЭС» Западные электрические сети;1045402509437;;
8b3cfffee29645a6b39c3e9f769ff28e;Комплектпромматериалы (КПМ);;;
06fb8f35d9a14e828ab70b8ab3760918;ГУП СК «Ставэлектросеть»;1202600000470;;
96a4f8f3ea644eed8f54ef5b1622d6f6;Bergmann-Borsig;;;
3af95ab0e2014a4483def1efa1b06359;Завод крупных электрических машин (ЗКЭМ);;;
2515d96c63494c4197db5a18ab0498e0;АО «Кореновсксахар»;1162375054225;;
2f433fc75d64437a800070f56ad7b2bb;Филиал ПАО «Россети Северный Кавказ» – «Карачаево-Черкесскэнерго»;1062632029778;;
4f394ef9be2d46079b74cf0d2b166bed;АО «СУМЗ»;1026601641791;;
88817e6aa7074231a43fde0ccf209a9a;НИИЭФА-ЭНЕРГО;;;
0112461e86f940ecb8c319a1d430557d;Московская дистанция электроснабжения Октябрьской дирекции по энергообеспечению;1037739877729;;
3660ef261e5f412aa463786ec40774ed;ООО «Плитный мир»;1103327001733;;
1b9126f07cbd439c921459b841e51d03;ООО «Хуадянь-Тенинская ТЭЦ»;1117604022337;;
df0450f984694528bde2d2c6a20d9e45;Курганский электромеханический завод (КЭМЗ);;;
c7b7d508324e4411aa5aceac85b665b5;Пермский завод высоковольтных электроизоляторов;;;
dd869cc80c384669badaa5a451d2110d;ВЭС ЦУС Читаэнерго;;;
bc235d4ef28f42dab15560face2ef123;Sieyuan Electric;;;
98f8684cfcb847aea8a438abe426e171;Филиал АО «Россети Тюмень» Нефтеюганские электрические сети;1028600587399;;
b88ec50c32b547ccac154318323f77cc;ООО «Энергонефть Томск»;1027001619369;;
57b2a59647f94778a459eb00a54e9592;OUIMB elettro (Виченца);;;
42d3f789e1fb49a58050d0d43bcb9257;АО «СГК»;1085254000358;;
bce8f92cac93466b87a607d3d99c5f32;ООО «НОЯБРЬСКАЯ ПГЭ»;1068905007038;;
740792799082488fb51a643392693fc2;ООО «ТЭСС Сибирь»;1125543040985;;
995b3c1cd6f949bb879320bc45741c24;ООО «РН-Ванкор»;1162468067541;;
e6d4d93285f049c5a3edae731b49616f;ООО «Кимкано-Сутарский ГОК»;1047796563077;;
7364308d6f9f42d1b3fba3678e4753c5;АО «ОЭК»;1057746394155;;
65ab57cc68924917bb71b7b709fd67e2;Белозерский ЭМЗ;;;
b4d6eda5ada14675be81cbe4334d6ae9;ООО «Аггреко Евразия»;1087746507386;;
bec6f44ae9fe4043ad85181d6efcb56d;ООО «Газпромнефть-Энергосервис»;5167746416624;508f26c253c54681a22315450c3d6601;
7ac929826f2e41e99d37d42120f94e36;Elliott Group;;;
5484578aa11b4a11b79c7612c8eb69f6;ООО «Томские электрические сети»;1157017012448;;
1ffbefcb58b443e98a7d00b8b487933d;ООО «Балтийский Химический Комплекс»;1184704008785;;
2325bccc0dde42efa9ce6f4b2bb13b07;Ставропольский трансформаторный завод;;;
23f137713b0548d1a8cb43dca6694f80;АО «Транснефть-Урал»;1020203226230;4edf078634124e7dbebc354fd7958bfc;
cae055ab00334e16bea5a22a19e57ef4;ОАО «Черемновский сахарный завод»;1022202365954;;
f3738ab7a4c04b4cabf9c33e39b0180d;ООО «БСК»;1050203780219;;
917df63ea5d142b19c619f32494f0ca3;Санкт-Петербург-Московская дистанция электроснабжения ОАО «РЖД»;1037739877295;;
0a37965abbaf48efbefd743f55348e68;Силовые машины;;;
126cd6857fc345c28dfe1ca36c2cab37;ООО «ВИЭ»;1160105052062;;
b4047a441dbd493383e6660cbba75b36;Московская дирекция по энергообеспечению;1037739877295;4e398ae264864020a82bfcd78e1da051;
d2991bc09ad94e4a985f855864b70284;Филиал ПАО «Россети» Амурское ПМЭС;1024701893336;;
50165ad0149f4881baa06c1c6dafa9e0;Уралэлектротяжмаш (УЭТМ);;;
860d4a9cdf5b4bbaa4cfdc162889c4a8;Филиал АО «Россети Кубань» Сочинские ЭС;1022301427268;;
454243464d464c93bdf11c017b2bdb47;ООО «Развитие – горэлектросеть»;1193668012306;;
9a75e1b6dc034877a4820a8768fa3ca8;ООО «Петербургтеплоэнерго»;1047833020058;;
6122634b935040c68ed4ff062bd35f39;Филиал АО «Россети Кубань» Юго-Западные ЭС;1022301427268;;
d9f062f362064af9a64e817d4a7e2ee4;ООО «ФНГ 2»;1197746414029;;
060adb7198194101a0d8a47d95a8dc4c;ПЭС;1062632029778;;
e04ac2b2cb1245cb9e19747af0875103;АО «Богучанский Алюминиевый Завод»;1062465070733;;
6321d2af05fb45c9b4380d504fde850d;Красноярская дирекция по энергообеспечению – структурное подразделение «Трансэнерго» – ОАО «РЖД»;1037739877295;be0fc150409f44549778908e28ba5b79;
b25697f9b00f422699e96484139be720;АО «Олкон»;1025100675610;;
c4a4ecabb51e4543996caa8fc3ec1ea5;Сенновская дистанция электроснабжения Приволжской дирекции по энергообеспечению ОАО «РЖД»;1037739877295;;
19c7ba83494a4289b54d72778d04af85;Уфимский завод Электроаппарат;;;
bbdeb39ff3a647349a195d0dfe631098;ООО «Тепло-М»;1025901366545;;
51602f3c47dc41589b90ee5c099926f4;АО «ОКБМ Африкантов»;1085259006117;;
27987e07959744d99601210c1e8e0b4e;АО «НАК «АЗОТ»;1027100507378;5e0e4512d52942da87acd16ad76bf4b3;
