about;name;Organisation
a31469eb0dcb4d70ba42a836fb563660;Производитель Jinko Solar;ee3ab38ccaf44f0db6efe606596a9817
7c86ee8b412e435385d0e7abf24be2fb;Производитель Энерготех;ba0dae9bbc854cadb0fd4b54310c4cbf
1275e305536047d79f95e5f5a5f8723c;Производитель Минусинский Электрокомплекс;bd9f1255a6c843228ceb4e81f9175206
9075eede34b5420fb8d6e82e47084bed;Производитель Red Wind B.V.;8b68e8e8a42f4f35ae107ec260a7f115
f182d5566c3347768b7bdbf008b675df;Производитель Сафоновский электромашиностроительный завод;a12116c4f1724adeb3df8070f517cdeb
a7b29a391ccf48a8b44b2867d8ca652d;Производитель SACE;062dc7d33de94598a8d5d0719f276535
39f0fe8b2e9548fbbe8ecd49549f556c;Производитель АО «ЧЭАЗ»;be65e04b6a7c449eae088a8afd28f37a
bb1a5898648a4e64a326643af0ff1307;Производитель Красноярский металлургический завод (КраМЗ);be16978a8e9a4237ae92d050d8871d8b
5ef69f18eecb41b2b2b69de76e3255b7;Производитель Литмаш;861a3d33ab964ccf9d312b391f4a74fc
e7993bf9d1844b638838ac984278a6db;Производитель Курганский завод энергетических технологий;f9d3e1e4bebe41a49dd40a3055825c43
962d6a58e8e247f1b49e3e499a4e14f5;"ООО ""МегаСтрой""";1ba6cc3bd8c94bb5acb2460d756fee0a
72615fcf17bc4131aec073ab3efb6f00;Производитель GE Energy Products France SNC;275b0810a32b472e829df8ca49cca014
a54c7c9f16c44def970bbdfa65fd5025;Производитель ООО Лысьвенский завод тяжелого электрического машиностроения «ПРИВОД»;b58138555a114f59b5072b88660018de
e129089636c24a91b3129731c7923534;Производитель Энергомир;7b7cd9b3284d4ae183182eceeda96120
89872d8eb01a4a01ba10a397fc57a520;ООО «Электрощиткомплект»;
a12f16fecbae413a89bf13a5ab3f43c8;Производитель Благовещенский электроаппаратный завод (БЭАЗ);b6edaa6474f24b608c58ac6c4e9dc68d
f115805c07154dff9ab245de6e30d76b;"Производитель Харьковский завод ""Электротяжмаш""";fb75da9a49e04c31a1324e4a8957ead6
96bbbc2c7755472080d1cd92bf3812be;Производитель Томский политехнический университет;36268975c0054747b8b382ad16f5e303
7cced725acc34b91b1f911b874c69a67;Производитель Hitachi Energy;92ea02ef3edf49abb4a95808db8563ae
a370a03c5098424ca3037925c947b7bb;Производитель NR Electric (Nari-relays, АСТ);4d65492176ef49c7aefb9f85ea857808
a0b57af249694557808cf17cd3f434e8;ЛСНХ ВЗВА г.Великие Луки;
16731cfc787a4481bc558eb973f7c39c;Производитель НПП Итран;fca76087ea91497298d70d24b8609bd3
74e1d9959a554ff792a3bcf2167b14e0;Производитель Нептун;1dfb9893d9da4563ac08905cdc93ba40
27d31d71bba4430c810cb727ea6c00ba;Производитель Раменский электротехнический завод Энергия (РЭТЗ Энергия);60d2574f85fc49469734e4abd319edc3
8125fbe2c7404de6a9d878965ec45ecb;Производитель LE MATERIEL ELECTRIQUE S-W;1372edeb4cc74130ba11c55bec8cf161
