about;name;sizeDescription;material;radius;diameterOverJacket;diameterOverCore;diameterOverInsulation;tapeThickness;sheathThickness;constructionKind;outerJacketKind;insulationEr;insulationErShield;shieldMaterial;shieldIsTransposed;shieldCrossSection;shieldGrounding;crossSection;underShieldScreenThickness;radialMoistureBarrierThicknes
e60120bf36614cb2ac7557e43dee3c1a;FXLJ-220-1õ400/90-127;FXLJ-220 1õ400/90-127;WireMaterialKind.aluminum;;;;;0.00136;;;;;;;false;9E-05;WireMaterialKind.aluminum;0.0004;;0.0002
6ece149040554dc280d42f16480c441b;ÀÏâÏó2;ÀÏâÏó2;WireMaterialKind.aluminum;0.038;0.07075;;;0.002;;WireMaterialKind.aluminum;;;2.5;WireMaterialKind.aluminum;false;9.5E-05;;0.000185;;0.0002
1582f251e08948e881810471b26c3a6c;ÏâÂíã(Â)-LS 1õ240/50-35;ÏâÂíã(Â)-LS 1õ240/50-35;WireMaterialKind.copper;0.0085;0.051;0;0;0.0012;0;WireMaterialKind.copper;;;;WireMaterialKind.copper;;0.00005;;0.00024;0;0
b009de8052164dbe9a1af1c4a14989f5;ÀÏâÏó2ã 1õ185/70 64/110;ÀÏâÏó2ã 1õ185/70 64/110;;0;0;0;0;0;0;;;;;;;0;;0;0;0
f2b818e9689d439d9b13f522f0d6aa00;2XS-(FL)2Y-LWL-1x1200-RMS/300-127/220-kV;2XS (FL)2Y-LWL 1x1200 RMS/300-127/220 kV;WireMaterialKind.copper;0.02155;0.115;;;0.0012;;WireMaterialKind.copper;;2.5;2.3;WireMaterialKind.copper;true;0.0003;;0.0012;0.0012;0.0002
ef6d245d2f914b7089b511f440c1e622;ÏâÏ2ã-1*240/95-64/110;ÏâÏ2ã 1*240/95-64/110;WireMaterialKind.copper;0.0091;0.038700000000000005;;;0.0006;;;;;;WireMaterialKind.copper;false;9.5E-05;;0.00024;0.0001;0.0001
78fc088dbaa2492599348e951fe83082;ÀÂÂÃ-3-(3*185-6);ÀÂÂÃ 3 (3*185-6);WireMaterialKind.aluminum;;0.055200000000000006;;;5.9999999999999995E-05;;WireMaterialKind.aluminum;;;;;false;;;0.000185;;
a7340f3de7d8478d81d366f8ae7749cd;ÀÏâÏ-1õ300/95-10;ÀÏâÏ 1õ300/95-10;WireMaterialKind.aluminum;0.013175000000000001;0.04;;;0.0009;;WireMaterialKind.aluminum;;1.6;1.6;WireMaterialKind.aluminum;false;9.5E-05;WireMaterialKind.aluminum;0.0003;0.0006;0.00015
159af6a543bb4c0f9bfbc311fea68541;1. À2XS(FL)2Y-1õ300RM/50-64/110;À2XS(FL)2Y 1õ300RM/50-64/110;WireMaterialKind.aluminum;0.01019;0.0698;;;0.001;;WireMaterialKind.aluminum;;11.5;7.3;WireMaterialKind.aluminum;false;7E-05;WireMaterialKind.aluminum;0.0003;0.001;0.00016
641df415426d47bf9084f30f33921b1f;3*(ÀÏâÏÓ-1-300/35-35);3*(ÀÏâÏÓ 1-300/35-35);WireMaterialKind.aluminum;0.0255;0.052;;;0.0009;;WireMaterialKind.aluminum;;2.4;2.4;WireMaterialKind.aluminum;false;3.5E-05;WireMaterialKind.aluminum;0.0003;0.0002;
40b2ffd70cd64b8ab27e985ee4a5a325;ÊÀ9ÑÏÂÏÌ 1õ400_70-10;ÊÀ9ÑÏÂÏÌ 1õ400_70-10;;;;;;;;;;;;;;;;;;
c7788614e71e4696842517aa2be631bb;ÀÏâÏ-1õ300/70-10;ÀÏâÏ 1õ300/70-10;WireMaterialKind.aluminum;0.013175000000000001;0.038;;;0.0009;;;;1.6;1.6;;false;7E-05;;0.0003;0.0006;0.00015
1d02c7e0240e4d3d93ce2f3f02aa44cf;ÀÏâÏó2ã 1õ1000ãæ/210-64/110 êÂ;ÀÏâÏó2ã 1õ1000ãæ/210-64/110 êÂ;WireMaterialKind.aluminum;;0.092;;;0.006;;WireMaterialKind.aluminum;WireMaterialKind.aluminum;;2.3;WireMaterialKind.aluminum;;0.00021;WireMaterialKind.aluminum;0.001;0.001;0.0001
32f62377270e48969325e8f865464df3;ÀÏâÏÓ-1*300/25-35;ÀÏâÏÓ-1*300/25-35;WireMaterialKind.aluminum;0.0157;0.047299999999999995;;;0.0009;;;;2.4;2.4;WireMaterialKind.aluminum;false;2.5E-05;;0.0003;0.0002;
55dfa615b94e456aa798d3e16c3c8afe;ÀÏâÏ2ã1*500/70-64/110êÂ;Ïàğàìåòğû êàáåëÿ ÀÏâÏ2ã1*500/70-64/110êÂ;WireMaterialKind.aluminum;0.01325;0.07954;;;0.06;;WireMaterialKind.aluminum;;;;WireMaterialKind.aluminum;false;0.00007;WireMaterialKind.aluminum;0.0005;0.0011;0.0002
7c7ddc024cdd4aa49aae5fbf066b9aad;ÏâÏóï2ãæ-1õ1200/300(îâ)-127/220-êÂ;ÏâÏóï2ãæ 1õ1200/300(îâ) 127/220 êÂ;WireMaterialKind.copper;0.021;0.115;;;0.0012;;;;2.5;2.5;WireMaterialKind.copper;true;0.0003;WireMaterialKind.copper;0.0012;0.0012;0.00016
