about;name;AssetTypePSRTypes
6a5dcb60af874ec8a1284ea6a6dcd6e1;Асинхронные машины;
414f227e826846ebba47dc92e7fbbff7;КРУЭ;
fd7b5f1d179e4d83a393b8d56c7c8549;Возбудители;
0552209d4e4c46749171a6b369ca71e6;АРВ;
45ba98e3bd37486dbf3e1967aaf56228;УПК;
d5e03cf4214447ecabd08000f19e3ea8;Фотоэлектрические модули;
8a93863491374ba994a082c54921db3b;Синхронные машины;
7f4c1553779246c8ba437c62b3b160ec;Трансформаторы тока;
c72f99ed0289429291e2c27d83e6ed44;Двигатели;
ee85aea934b742d6990d115a884a6334;Системы возбуждения;
8501025c4a924617acb1ff2e0567c99a;Токоограничивающие реакторы;
9f826625a1b2470e84e90981d16aea03;Трансформаторы (автотрансформаторы);
66f17f3547d24b6fae87767172f7e7d1;Провода;
dde573d9bf8b4adb905b302dc528f32d;Высокочастотные заградители;
b0b02c3341784842a03e0337e06b79ac;Короткозамыкатели;
6f2390978ed84e29a6820c4eaafa048d;Управляемые шунтирующие реакторы;
805c0e7401184f84bc4ee8758c0c45c5;Генераторы;
9bb0747837bb4fbfaebb38d8e56263ab;Преобразователи;
39badd8dfe0549fb81e56a9265d54bc6;Ветротурбины;
6030f5cef7344574a15944162cef3179;Турбины;
adb76518cdf54fb981ba92150057fdf5;Трансформаторы напряжения;
a154da76a0a54c41967d4674dbbc080d;Ветрогенераторы;
fd97251d217d4dd28be8b3e7b276788a;Конденсаторные установки;
09db7627f5e246feb30a79c359249a1e;Конденсаторы связи;
