about;name;AssetTypes
53303d8e9a09442bac8544bdddc1e827;КВсгОСР-RA-460-2500-D11-8-УХЛ4 ;ee85aea934b742d6990d115a884a6334
216b796412c64c7292152885beb90e39;Независимая диодная система возбуждения;ee85aea934b742d6990d115a884a6334
011114e1aac648eab7949a7c21f941af;;66f17f3547d24b6fae87767172f7e7d1
ee3bc88d6af8456bb5dad89fb63b556a;;ee85aea934b742d6990d115a884a6334
c75a4d7f09c94c3fa9968c62208c5f8d;;7f4c1553779246c8ba437c62b3b160ec
1000148900000000c0000000006d746c;3-позиц. разъединитель;0c4b941ca4dc4187a15bcedca045212b
7f63647d6a3d41308908cf12abfa4b6a;Статический генератор реактивной мощности;fd97251d217d4dd28be8b3e7b276788a
0350e294640841e285715dce59a05266;Многовальная;6030f5cef7344574a15944162cef3179
40815c61613e44c1991b7744621b4bd8;Тиристорная независмого возбуждения бесщеточная;ee85aea934b742d6990d115a884a6334
8955fac19ec144aaa725f916431c1570;СТС-2П-310-1900-2,5 ;ee85aea934b742d6990d115a884a6334
10000cc500000000c0000000006d746c;Элегазовый выключатель;937f70ca22af443aa5d7ca192a98bf78
10000d1c00000000c0000000006d746c;Управляемый шунтирующий реактор;ceef3e582f7a41199b7f1c942407c262
f1a27035fcbf48158d0b01b244d49f12;Высокочастотная система возбуждения;ee85aea934b742d6990d115a884a6334
70f23451cb804819baa5dddcc14b6f5d;Сильного действия;0552209d4e4c46749171a6b369ca71e6
10000cf100000000c0000000006d746c;Автоматический выключатель;937f70ca22af443aa5d7ca192a98bf78
ae614656e85a4900b43129e9207ede3c;Воздушный выключатель;937f70ca22af443aa5d7ca192a98bf78
115808ffb3834dc1b4823c991d2bfc98;Двухмашинная система электромашинного возбуждения с возбудителем постоянного тока;ee85aea934b742d6990d115a884a6334
10000d0400000000c0000000006d746c;Установка продольной емкостной компенсации;45ba98e3bd37486dbf3e1967aaf56228
5fc183a2850b42b09bda36cd7f9ba33e;Одномашинная высокочастотная система возбуждения ;ee85aea934b742d6990d115a884a6334
e30aa7728b8b462a9ae1fa272037b165;СТС-2П-310-1900-2,5 ;ee85aea934b742d6990d115a884a6334
e03a53e42ea3495d852afd3cace35bae;Вакуумный выключатель;937f70ca22af443aa5d7ca192a98bf78
